participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls00,local_symbol_cls01,local_symbol_cls02,local_symbol_cls03,local_symbol_cls04,local_symbol_cls05,local_symbol_cls10,local_symbol_cls11,local_symbol_cls12,local_symbol_cls13,local_symbol_cls14,local_symbol_cls15,local_symbol_cls20,local_symbol_cls21,local_symbol_cls22,local_symbol_cls23,local_symbol_cls24,local_symbol_cls25,local_symbol_cls30,local_symbol_cls31,local_symbol_cls32,local_symbol_cls33,local_symbol_cls34,local_symbol_cls35,correct_symbol_cls0,correct_symbol_cls1,correct_symbol_cls2,correct_symbol_cls3,correct_symbol_cls4,correct_symbol_cls5,correct_local_cls,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,66.40098852040816,40.711017219387756,38.51937181122449,34.27232142857143,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1050,1101.0,0
Jupiter,29.582190688775512,49.52455357142857,27.82748724489796,46.52487244897959,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,789,1101.0,0
Jupiter,47.112723214285715,29.01044323979592,36.99107142857143,65.1186224489796,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1613,1101.0,0
Jupiter,40.561304209183675,46.01666135204081,36.17928890306123,34.29671556122449,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,812,1101.0,2
Jupiter,41.191964285714285,16.854033801020407,66.3334661989796,31.048947704081634,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1347,1101.0,0
Jupiter,53.17833227040816,14.506138392857142,70.52359693877551,37.52750318877551,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2039,1101.0,2
Jupiter,51.49896364795919,62.67442602040816,60.85267857142857,29.828364158163264,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1905,1101.0,0
Jupiter,22.936144770408163,45.06744260204081,43.59526466836735,35.41430165816327,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,816,1101.0,2
Jupiter,33.97568558673469,38.32573341836735,61.65704719387755,38.08514030612245,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,831,1101.0,1
Jupiter,36.87739158163265,64.8897480867347,31.776785714285715,64.05062181122449,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,748,1175.0,0
Jupiter,39.09271364795919,50.50414540816327,46.55078125,33.99083227040816,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,976,1175.0,3
Jupiter,46.24410076530612,28.5914381377551,27.01076211734694,63.19969706632653,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,801,1175.0,3
Jupiter,56.62802933673469,72.0640943877551,45.097337372448976,35.25701530612245,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,999,1175.0,2
Jupiter,44.27431441326531,37.753348214285715,73.11017219387755,49.49410076530612,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,840,1175.0,3
Jupiter,39.25047831632653,49.187181122448976,11.32342155612245,33.66079400510204,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,863,1175.0,3
Jupiter,48.05668048469388,49.15752551020408,36.78045280612245,20.401865433673468,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,688,1175.0,2
Jupiter,46.22632334183673,59.899633290816325,56.00151466836735,24.633928571428573,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1278,1175.0,3
Jupiter,47.80102040816327,58.302455357142854,34.61344068877551,32.91605548469388,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,718,1175.0,2
Jupiter,36.432397959183675,25.900510204081634,42.862962372448976,60.25079719387755,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1140,1175.0,2
Jupiter,29.51171875,41.76426977040816,40.0983737244898,29.712691326530614,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,943,1175.0,1
Jupiter,42.040019132653065,34.21436543367347,45.12954400510204,26.517538265306122,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1027,1175.0,2
Jupiter,51.20352359693877,31.613679846938776,49.542410714285715,42.34566326530612,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,805,1175.0,1
Jupiter,45.52718431122449,37.74545599489796,17.38799426020408,41.79942602040816,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1043,1175.0,0
Jupiter,41.59677933673469,57.41254783163265,36.227519132653065,22.794882015306122,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,872,1175.0,1
