participant_id,x1_linspace,x1_brightness,x1_symbol_m,x1_symbol_c,x1_symbol_s,x1_symbol_y,x1_symbol_f,x1_symbol_j,x1_location_0,x1_location_1,x1_location_2,x1_location_3,x2_linspace,x2_brightness,x2_symbol_m,x2_symbol_c,x2_symbol_s,x2_symbol_y,x2_symbol_f,x2_symbol_j,x2_location_0,x2_location_1,x2_location_2,x2_location_3
Jupiter,0.0118623962040332,0.11008247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0118623962040332,0.15563443,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0118623962040332,0.11008247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0118623962040332,0.1604673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0118623962040332,0.11008247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0118623962040332,0.15807885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0124555160142348,0.21260066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0124555160142348,0.24951199,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0124555160142348,0.21260066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0124555160142348,0.13347933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0124555160142348,0.21260066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0124555160142348,0.18738809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0130486358244365,0.12799713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0130486358244365,0.08419993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jupiter,0.0130486358244365,0.12799713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0130486358244365,0.15106387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0130486358244365,0.12799713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0130486358244365,0.104867265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0136417556346381,0.10260699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0136417556346381,0.071411684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jupiter,0.0136417556346381,0.10260699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0136417556346381,0.20578918,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0136417556346381,0.10260699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0136417556346381,0.1684005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0142348754448398,0.14290029,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0142348754448398,0.12952057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0142348754448398,0.14290029,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0142348754448398,0.1862417,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0142348754448398,0.14290029,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0142348754448398,0.19978774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0148279952550415,0.17367667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0148279952550415,0.200679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0148279952550415,0.17367667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0148279952550415,0.19425365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0148279952550415,0.17367667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0148279952550415,0.20972326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jupiter,0.0154211150652431,0.14608155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0154211150652431,0.2105858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0154211150652431,0.14608155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0154211150652431,0.1807082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0154211150652431,0.14608155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0154211150652431,0.24965705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0160142348754448,0.13836943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0160142348754448,0.19286466,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0160142348754448,0.13836943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0160142348754448,0.2113214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0160142348754448,0.13836943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0160142348754448,0.17959996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
